"","counter","AS","Type","GranularityValue","SeverityScore","PageRank","NumBadDep","TotalDep","NumberOfVerteces","NumOfCycle","NumSetOfElement","TotNumOfSetOfElement","ADI","project","version","arcan.version","commit.hash"
"76",6,40060,"cd",2,2,7.61699848926378,0,0,2,1,2,9,6,"outjabm",7,"3","f2c14a05de4320a856e58c0f4eae1fce9a4b9c0c.csv"
"77",7,40067,"cd",2,4,15.5622527128561,0,0,5,1,5,9,6,"outjabm",7,"3","f2c14a05de4320a856e58c0f4eae1fce9a4b9c0c.csv"
"78",8,40077,"cd",2,5,23.1005763217653,0,0,7,1,7,9,6,"outjabm",7,"3","f2c14a05de4320a856e58c0f4eae1fce9a4b9c0c.csv"
"79",9,40089,"cd",2,1,10.4714358090321,0,0,2,1,2,9,6,"outjabm",7,"3","f2c14a05de4320a856e58c0f4eae1fce9a4b9c0c.csv"
"80",10,40096,"cd",2,3,12.9047916294033,0,0,4,1,4,9,6,"outjabm",7,"3","f2c14a05de4320a856e58c0f4eae1fce9a4b9c0c.csv"
"81",11,40105,"cd",2,6,15.0637369932378,0,0,3,2,3,9,6,"outjabm",7,"3","f2c14a05de4320a856e58c0f4eae1fce9a4b9c0c.csv"
"82",1,60833,"ud",2,1,7.90091027106588,2,0,0,0,3,9,6,"outjabm",8,"4","8b29f1af211c13bfbad5e578d231ae7e51e08a2b.csv"
"83",2,60842,"ud",2,4,5.5549175758657,1,0,0,0,2,9,6,"outjabm",8,"4","8b29f1af211c13bfbad5e578d231ae7e51e08a2b.csv"
"84",3,60851,"ud",2,3,4.64354685781075,1,0,0,0,2,9,6,"outjabm",8,"4","8b29f1af211c13bfbad5e578d231ae7e51e08a2b.csv"
"85",4,60860,"ud",2,5,10.7123708744212,2,0,0,0,3,9,6,"outjabm",8,"4","8b29f1af211c13bfbad5e578d231ae7e51e08a2b.csv"
"86",5,60875,"ud",2,2,10.8488437019492,2,0,0,0,3,9,6,"outjabm",8,"4","8b29f1af211c13bfbad5e578d231ae7e51e08a2b.csv"
"87",6,60703,"cd",2,3,8.19363112051821,0,0,2,1,2,9,6,"outjabm",8,"4","8b29f1af211c13bfbad5e578d231ae7e51e08a2b.csv"
